sample_size,effect_size,power,method
50,0.1,0.0,ASD
50,0.1,0.0,TM
50,0.1,0.0,SG
50,0.25,1.0,ASD
50,0.25,0.0,TM
50,0.25,1.0,SG
50,0.5,1.0,ASD
50,0.5,1.0,TM
50,0.5,1.0,SG
50,0.75,1.0,ASD
50,0.75,1.0,TM
50,0.75,1.0,SG
50,1.0,1.0,ASD
50,1.0,1.0,TM
50,1.0,1.0,SG
100,0.1,0.0,ASD
100,0.1,0.0,TM
100,0.1,0.0,SG
100,0.25,1.0,ASD
100,0.25,1.0,TM
100,0.25,1.0,SG
100,0.5,1.0,ASD
100,0.5,1.0,TM
100,0.5,1.0,SG
100,0.75,1.0,ASD
100,0.75,1.0,TM
100,0.75,1.0,SG
100,1.0,1.0,ASD
100,1.0,1.0,TM
100,1.0,1.0,SG
150,0.1,1.0,ASD
150,0.1,0.0,TM
150,0.1,0.0,SG
150,0.25,1.0,ASD
150,0.25,1.0,TM
150,0.25,1.0,SG
150,0.5,1.0,ASD
150,0.5,1.0,TM
150,0.5,1.0,SG
150,0.75,1.0,ASD
150,0.75,1.0,TM
150,0.75,1.0,SG
150,1.0,1.0,ASD
150,1.0,1.0,TM
150,1.0,1.0,SG
200,0.1,1.0,ASD
200,0.1,0.0,TM
200,0.1,1.0,SG
200,0.25,1.0,ASD
200,0.25,1.0,TM
200,0.25,1.0,SG
200,0.5,1.0,ASD
200,0.5,1.0,TM
200,0.5,1.0,SG
200,0.75,1.0,ASD
200,0.75,1.0,TM
200,0.75,1.0,SG
200,1.0,1.0,ASD
200,1.0,1.0,TM
200,1.0,1.0,SG
250,0.1,1.0,ASD
250,0.1,0.0,TM
250,0.1,1.0,SG
250,0.25,1.0,ASD
250,0.25,1.0,TM
250,0.25,1.0,SG
250,0.5,1.0,ASD
250,0.5,1.0,TM
250,0.5,1.0,SG
250,0.75,1.0,ASD
250,0.75,1.0,TM
250,0.75,1.0,SG
250,1.0,1.0,ASD
250,1.0,1.0,TM
250,1.0,1.0,SG
300,0.1,1.0,ASD
300,0.1,0.0,TM
300,0.1,1.0,SG
300,0.25,1.0,ASD
300,0.25,1.0,TM
300,0.25,1.0,SG
300,0.5,1.0,ASD
300,0.5,1.0,TM
300,0.5,1.0,SG
300,0.75,1.0,ASD
300,0.75,1.0,TM
300,0.75,1.0,SG
300,1.0,1.0,ASD
300,1.0,1.0,TM
300,1.0,1.0,SG
