method,effect_size,Mean_Power,Std_Power,Sample_Size,Power_Category
ASD,0.1,0.667,0.516,50,Moderate (>=0.6)
ASD,0.25,1.0,0.0,50,Excellent (>=0.9)
ASD,0.5,1.0,0.0,50,Excellent (>=0.9)
ASD,0.75,1.0,0.0,50,Excellent (>=0.9)
ASD,1.0,1.0,0.0,50,Excellent (>=0.9)
SG,0.1,0.5,0.548,50,Low (<0.6)
SG,0.25,1.0,0.0,50,Excellent (>=0.9)
SG,0.5,1.0,0.0,50,Excellent (>=0.9)
SG,0.75,1.0,0.0,50,Excellent (>=0.9)
SG,1.0,1.0,0.0,50,Excellent (>=0.9)
TM,0.1,0.0,0.0,50,Low (<0.6)
TM,0.25,0.833,0.408,50,Good (>=0.8)
TM,0.5,1.0,0.0,50,Excellent (>=0.9)
TM,0.75,1.0,0.0,50,Excellent (>=0.9)
TM,1.0,1.0,0.0,50,Excellent (>=0.9)
